epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,412.008,1.04619,1.21728,1.45415,0.04159,0.88787,0.81586,0.87571,0.67167,0.94675,0.74178,1.21332,0.0323,0.000476084,0.000476084,0.000476084
2,780.294,1.01464,0.83242,1.16161,0.03799,0.88417,0.80334,0.86616,0.67281,0.92517,0.75117,1.12494,0.02978,0.000933559,0.000933559,0.000933559
3,1144.18,1.01866,0.82188,1.12294,0.04021,0.88217,0.81382,0.87173,0.6789,0.89761,0.74886,1.09103,0.0297,0.00137217,0.00137217,0.00137217
4,1508.72,0.99462,0.79739,1.09701,0.0377,0.90037,0.824,0.88233,0.69023,0.88479,0.69989,1.07857,0.02597,0.00134412,0.00134412,0.00134412
5,1877.48,0.97174,0.75816,1.07501,0.03496,0.88994,0.83397,0.88535,0.70049,0.85736,0.67678,1.05444,0.02371,0.00131582,0.00131582,0.00131582
6,2255.37,0.95422,0.74458,1.0737,0.03325,0.89871,0.82973,0.88868,0.70311,0.86617,0.71027,1.05278,0.02445,0.00128753,0.00128753,0.00128753
7,2630.77,0.93639,0.72483,1.05746,0.03258,0.90748,0.84281,0.89645,0.71072,0.84123,0.64299,1.04277,0.0256,0.00125923,0.00125923,0.00125923
8,2996.46,0.9357,0.71528,1.05233,0.03176,0.90595,0.83639,0.89207,0.71223,0.83175,0.63076,1.04195,0.02217,0.00123094,0.00123094,0.00123094
9,3366.12,0.91575,0.69006,1.04651,0.03131,0.90966,0.84779,0.90139,0.72091,0.81094,0.61541,1.03518,0.02208,0.00120265,0.00120265,0.00120265
10,3739.84,0.90256,0.68424,1.04043,0.02933,0.9018,0.8365,0.89996,0.7153,0.81852,0.62879,1.0388,0.0201,0.00117435,0.00117435,0.00117435
11,4107.54,0.90392,0.68216,1.03841,0.0301,0.90791,0.84812,0.90418,0.72543,0.79375,0.61866,1.01125,0.02053,0.00114606,0.00114606,0.00114606
12,4469.98,0.88878,0.6521,1.02587,0.02864,0.90993,0.84806,0.90568,0.72685,0.80013,0.60419,1.02216,0.02072,0.00111776,0.00111776,0.00111776
